Date,Open,High,Low,Close,Adj Close,Volume
2019-03-19,237.520004,238.050003,236.289993,237.050003,233.844772,1852300
2019-03-20,237.029999,238.490005,235.779999,236.979996,233.775696,1499500
2019-03-21,236.679993,239.850006,236.550003,239.539993,236.301102,1617000
2019-03-22,239.750000,240.339996,236.899994,237.559998,234.347885,1873600
2019-03-25,236.929993,238.080002,235.789993,236.970001,233.765869,1357100
2019-03-26,238.000000,240.250000,237.360001,239.070007,235.837463,1193000
2019-03-27,238.710007,240.210007,238.160004,239.410004,236.172852,1351200
2019-03-28,239.979996,241.949997,239.580002,241.220001,237.958374,1396700
2019-03-29,241.660004,242.440002,240.770004,242.139999,238.865952,1968000
2019-04-01,243.070007,244.410004,242.580002,244.190002,240.888214,1610200
2019-04-02,244.000000,244.190002,240.309998,240.500000,237.248123,1574300
2019-04-03,241.690002,243.550003,241.020004,242.479996,239.201340,1663600
2019-04-04,242.169998,244.759995,241.250000,244.399994,241.095367,1319700
2019-04-05,244.960007,247.089996,244.009995,245.869995,242.545517,1616200
2019-04-08,245.990005,246.830002,245.199997,246.520004,243.186722,1244200
2019-04-09,245.110001,245.679993,244.009995,244.910004,241.598511,1450200
2019-04-10,245.279999,246.669998,244.710007,245.610001,242.289047,1556600
2019-04-11,243.619995,244.179993,240.919998,241.240005,237.978119,2719800
2019-04-12,241.509995,242.720001,240.899994,241.949997,238.678513,2187600
2019-04-15,242.369995,246.750000,241.960007,246.330002,242.999283,1859700
2019-04-16,246.649994,246.820007,244.250000,245.339996,242.022675,1360500
2019-04-17,246.300003,246.460007,244.320007,245.559998,242.239685,1363000
2019-04-18,246.789993,247.250000,244.699997,245.809998,242.486313,1365000
2019-04-22,245.190002,245.770004,242.559998,243.419998,240.128647,1300000
2019-04-23,244.649994,246.529999,242.210007,245.580002,242.259445,1524600
2019-04-24,245.679993,248.699997,245.600006,247.960007,244.607269,1156400
2019-04-25,246.210007,247.149994,243.940002,245.600006,242.279160,1278200
2019-04-26,245.619995,245.889999,242.059998,243.820007,240.523224,1842900
2019-04-29,245.000000,245.750000,243.490005,244.279999,240.977020,1429700
2019-04-30,244.770004,245.789993,243.020004,245.529999,242.210114,1427600
2019-05-01,245.339996,245.460007,241.550003,241.589996,238.323364,1350400
2019-05-02,241.759995,242.889999,240.419998,242.690002,239.408508,1237600
2019-05-03,243.270004,244.880005,242.720001,244.619995,241.312424,905900
2019-05-06,242.850006,244.830002,242.059998,244.229996,240.927689,1194900
